,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta,meds,ws,ts
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp,,,
36,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.004,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,29.996,164.872,164.636,74,99784,999999,jul-23-2021_0132,"('NO_MED', 'GOOD_MED_X')","(2.0, 0.01)","(-1.0, 2.0)"
37,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.11,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,122.072,122.072,72,85094,975000,jul-23-2021_0132,"('NO_MED', 'GOOD_MED_X')","(2.0, 0.03)","(-1.0, 2.0)"
38,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.066,0.0,0.0,0.0,0.0,0.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,213.476,213.476,82,37764,355000,jul-23-2021_0132,"('NO_MED', 'GOOD_MED_X')","(2.0, 0.1)","(-1.0, 2.0)"
39,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,500,1000000,0.005,30,True,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.228,125,117706,775000,jul-23-2021_0133,"('NO_MED', 'GOOD_MED_X')","(2.0, 0.5)","(-1.0, 2.0)"
40,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728.064,130,158204,840000,jul-23-2021_0133,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.0)","(-1.0, 2.0)"
41,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.546,0.0,0.0,0.0,0.0,0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,488.744,488.744,124,41468,435000,jul-23-2021_0133,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.01)","(-1.0, 2.0)"
42,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.722,0.0,0.0,0.0,0.0,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,251.76,251.76,102,17478,235000,jul-23-2021_0133,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.03)","(-1.0, 2.0)"
43,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.646,0.0,0.0,0.0,0.0,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,198.632,198.632,79,14838,265000,jul-23-2021_0134,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.1)","(-1.0, 2.0)"
44,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,500,1000000,0.005,30,True,-1.0,2.0,0.754,0.0,0.0,0.0,0.0,0.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,180.184,180.184,77,15667,315000,jul-23-2021_0134,"('NO_MED', 'GOOD_MED_X')","(3.0, 0.5)","(-1.0, 2.0)"
45,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,28.482,658.778,1053.228,143,8916,999999,jul-23-2021_0134,"('NO_MED', 'GOOD_MED_X')","(inf, 0.0)","(-1.0, 2.0)"
46,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.684,0.0,0.0,0.0,0.0,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,29.502,832.682,937.448,118,8560,999999,jul-23-2021_0134,"('NO_MED', 'GOOD_MED_X')","(inf, 0.01)","(-1.0, 2.0)"
47,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.978,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464,29.45,964.74,1094.94,121,9493,999999,jul-23-2021_0135,"('NO_MED', 'GOOD_MED_X')","(inf, 0.03)","(-1.0, 2.0)"
48,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.1,500,1000000,0.005,30,True,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498,29.47,819.389,925.504,99,8734,999999,jul-23-2021_0135,"('NO_MED', 'GOOD_MED_X')","(inf, 0.1)","(-1.0, 2.0)"
49,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.5,500,1000000,0.005,30,True,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,29.432,796.893,906.1,108,8702,999999,jul-23-2021_0135,"('NO_MED', 'GOOD_MED_X')","(inf, 0.5)","(-1.0, 2.0)"
50,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.032,122,33950,155000,jul-23-2021_0135,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.0)","(-1.0, 2.0)"
51,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.582,0.0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.636,155,51657,235000,jul-23-2021_0136,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.01)","(-1.0, 2.0)"
52,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,8.688,215.327,134.876,75,212661,999999,jul-23-2021_0136,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.03)","(-1.0, 2.0)"
53,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,500,1000000,0.005,30,True,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,8.736,250.05,123.248,65,192521,999999,jul-23-2021_0137,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.1)","(-1.0, 2.0)"
54,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,500,1000000,0.005,30,True,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.972,104,23675,140000,jul-23-2021_0137,"('NO_MED', 'GOOD_MED_X')","(0.5, 0.5)","(-1.0, 2.0)"
55,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500,1000000,0.005,30,True,-1.0,2.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.132,150,45566,145000,jul-23-2021_0137,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.0)","(-1.0, 2.0)"
56,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,500,1000000,0.005,30,True,-1.0,2.0,0.044,0.0,0.0,0.0,0.0,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,20.22,275.488,134.388,72,192991,999999,jul-23-2021_0137,"('NO_MED', 'GOOD_MED_X')","(1.0, 0.01)","(-1.0, 2.0)"
