,med,med,med,med,med,med,med,med,med,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meds,ws,timestamp
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,W1,W2,N,episode_n,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,,,
30,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.736,0.264,0.0,0.0,0.82,24.968,581.310976,61.035999999999945,58,31827,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(3.0, 2.0)",Jun-24-2021_1504
31,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,126.736,126.7360000000001,68,19744,940000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(3.0, 3.0)",Jun-24-2021_1504
32,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.318,9.99,938.0939,136.0920000000001,70,120265,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 0.5)",Jun-24-2021_1504
33,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.41999999999996,63,72377,530000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 1.0)",Jun-24-2021_1504
34,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.91999999999996,60,53642,645000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 2.0)",Jun-24-2021_1504
35,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.384,11.482,1004.7416759999999,135.9079999999999,75,53585,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 3.0)",Jun-24-2021_1504
36,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.654,20.046,940.5238840000001,102.49199999999996,66,129677,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 0.5)",Jun-24-2021_1504
37,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.598,18.882,1067.4000760000001,129.05999999999995,82,114591,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 1.0)",Jun-24-2021_1504
38,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.50800000000004,55,41186,380000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 2.0)",Jun-24-2021_1504
39,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.89,26.876,449.452624,96.83600000000001,63,26292,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 3.0)",Jun-24-2021_1504
